run_id,N,T,initial_corruption_rate_parameter,beta,belief_threshold,initial_num_corrupted,initial_corruption_rate_actual,final_num_corrupted,final_num_honest,final_corruption_rate,full_corruption,no_spread
0,50,10000,0.1,0.3,0.5,6,0.12,12,38,0.24,False,False
1,50,10000,0.1,0.3,0.5,3,0.06,8,42,0.16,False,False
2,50,10000,0.1,0.3,0.5,3,0.06,6,44,0.12,False,False
3,50,10000,0.1,0.3,0.5,5,0.1,12,38,0.24,False,False
4,50,10000,0.1,0.3,0.5,1,0.02,2,48,0.04,False,False
5,50,10000,0.1,0.3,0.5,8,0.16,20,30,0.4,False,False
6,50,10000,0.1,0.3,0.5,5,0.1,12,38,0.24,False,False
7,50,10000,0.1,0.3,0.5,6,0.12,15,35,0.3,False,False
8,50,10000,0.1,0.3,0.5,3,0.06,11,39,0.22,False,False
9,50,10000,0.1,0.3,0.5,6,0.12,14,36,0.28,False,False
10,50,10000,0.1,0.3,0.5,0,0.0,0,50,0.0,False,True
11,50,10000,0.1,0.3,0.5,5,0.1,12,38,0.24,False,False
12,50,10000,0.1,0.3,0.5,3,0.06,9,41,0.18,False,False
13,50,10000,0.1,0.3,0.5,6,0.12,17,33,0.34,False,False
14,50,10000,0.1,0.3,0.5,3,0.06,9,41,0.18,False,False
15,50,10000,0.1,0.3,0.5,6,0.12,14,36,0.28,False,False
16,50,10000,0.1,0.3,0.5,7,0.14,20,30,0.4,False,False
17,50,10000,0.1,0.3,0.5,5,0.1,12,38,0.24,False,False
18,50,10000,0.1,0.3,0.5,6,0.12,12,38,0.24,False,False
19,50,10000,0.1,0.3,0.5,6,0.12,14,36,0.28,False,False
20,50,10000,0.1,0.3,0.5,8,0.16,14,36,0.28,False,False
21,50,10000,0.1,0.3,0.5,4,0.08,11,39,0.22,False,False
22,50,10000,0.1,0.3,0.5,6,0.12,15,35,0.3,False,False
23,50,10000,0.1,0.3,0.5,3,0.06,9,41,0.18,False,False
24,50,10000,0.1,0.3,0.5,5,0.1,13,37,0.26,False,False
25,50,10000,0.1,0.3,0.5,7,0.14,16,34,0.32,False,False
26,50,10000,0.1,0.3,0.5,3,0.06,6,44,0.12,False,False
27,50,10000,0.1,0.3,0.5,6,0.12,18,32,0.36,False,False
28,50,10000,0.1,0.3,0.5,7,0.14,18,32,0.36,False,False
29,50,10000,0.1,0.3,0.5,6,0.12,14,36,0.28,False,False
30,50,10000,0.1,0.3,0.5,2,0.04,8,42,0.16,False,False
31,50,10000,0.1,0.3,0.5,7,0.14,15,35,0.3,False,False
32,50,10000,0.1,0.3,0.5,4,0.08,10,40,0.2,False,False
33,50,10000,0.1,0.3,0.5,6,0.12,14,36,0.28,False,False
34,50,10000,0.1,0.3,0.5,6,0.12,15,35,0.3,False,False
35,50,10000,0.1,0.3,0.5,7,0.14,19,31,0.38,False,False
36,50,10000,0.1,0.3,0.5,3,0.06,8,42,0.16,False,False
37,50,10000,0.1,0.3,0.5,8,0.16,21,29,0.42,False,False
38,50,10000,0.1,0.3,0.5,3,0.06,5,45,0.1,False,False
39,50,10000,0.1,0.3,0.5,3,0.06,6,44,0.12,False,False
40,50,10000,0.1,0.3,0.5,3,0.06,6,44,0.12,False,False
41,50,10000,0.1,0.3,0.5,2,0.04,4,46,0.08,False,False
42,50,10000,0.1,0.3,0.5,3,0.06,9,41,0.18,False,False
43,50,10000,0.1,0.3,0.5,9,0.18,19,31,0.38,False,False
44,50,10000,0.1,0.3,0.5,2,0.04,5,45,0.1,False,False
45,50,10000,0.1,0.3,0.5,5,0.1,9,41,0.18,False,False
46,50,10000,0.1,0.3,0.5,7,0.14,16,34,0.32,False,False
47,50,10000,0.1,0.3,0.5,5,0.1,8,42,0.16,False,False
48,50,10000,0.1,0.3,0.5,6,0.12,18,32,0.36,False,False
49,50,10000,0.1,0.3,0.5,6,0.12,14,36,0.28,False,False
50,50,10000,0.1,0.3,0.5,5,0.1,15,35,0.3,False,False
51,50,10000,0.1,0.3,0.5,6,0.12,10,40,0.2,False,False
52,50,10000,0.1,0.3,0.5,5,0.1,17,33,0.34,False,False
53,50,10000,0.1,0.3,0.5,7,0.14,13,37,0.26,False,False
54,50,10000,0.1,0.3,0.5,7,0.14,14,36,0.28,False,False
55,50,10000,0.1,0.3,0.5,7,0.14,20,30,0.4,False,False
56,50,10000,0.1,0.3,0.5,4,0.08,12,38,0.24,False,False
57,50,10000,0.1,0.3,0.5,3,0.06,4,46,0.08,False,False
58,50,10000,0.1,0.3,0.5,4,0.08,13,37,0.26,False,False
59,50,10000,0.1,0.3,0.5,5,0.1,13,37,0.26,False,False
60,50,10000,0.1,0.3,0.5,8,0.16,22,28,0.44,False,False
61,50,10000,0.1,0.3,0.5,5,0.1,11,39,0.22,False,False
62,50,10000,0.1,0.3,0.5,4,0.08,11,39,0.22,False,False
63,50,10000,0.1,0.3,0.5,5,0.1,9,41,0.18,False,False
64,50,10000,0.1,0.3,0.5,10,0.2,18,32,0.36,False,False
65,50,10000,0.1,0.3,0.5,7,0.14,20,30,0.4,False,False
66,50,10000,0.1,0.3,0.5,4,0.08,11,39,0.22,False,False
67,50,10000,0.1,0.3,0.5,5,0.1,14,36,0.28,False,False
68,50,10000,0.1,0.3,0.5,4,0.08,7,43,0.14,False,False
69,50,10000,0.1,0.3,0.5,4,0.08,6,44,0.12,False,False
70,50,10000,0.1,0.3,0.5,7,0.14,16,34,0.32,False,False
71,50,10000,0.1,0.3,0.5,3,0.06,10,40,0.2,False,False
72,50,10000,0.1,0.3,0.5,6,0.12,13,37,0.26,False,False
73,50,10000,0.1,0.3,0.5,8,0.16,19,31,0.38,False,False
74,50,10000,0.1,0.3,0.5,3,0.06,7,43,0.14,False,False
75,50,10000,0.1,0.3,0.5,4,0.08,10,40,0.2,False,False
76,50,10000,0.1,0.3,0.5,5,0.1,8,42,0.16,False,False
77,50,10000,0.1,0.3,0.5,7,0.14,16,34,0.32,False,False
78,50,10000,0.1,0.3,0.5,1,0.02,3,47,0.06,False,False
79,50,10000,0.1,0.3,0.5,9,0.18,24,26,0.48,False,False
80,50,10000,0.1,0.3,0.5,3,0.06,5,45,0.1,False,False
81,50,10000,0.1,0.3,0.5,4,0.08,8,42,0.16,False,False
82,50,10000,0.1,0.3,0.5,3,0.06,9,41,0.18,False,False
83,50,10000,0.1,0.3,0.5,5,0.1,11,39,0.22,False,False
84,50,10000,0.1,0.3,0.5,0,0.0,0,50,0.0,False,True
85,50,10000,0.1,0.3,0.5,5,0.1,12,38,0.24,False,False
86,50,10000,0.1,0.3,0.5,2,0.04,6,44,0.12,False,False
87,50,10000,0.1,0.3,0.5,11,0.22,20,30,0.4,False,False
88,50,10000,0.1,0.3,0.5,5,0.1,15,35,0.3,False,False
89,50,10000,0.1,0.3,0.5,2,0.04,6,44,0.12,False,False
90,50,10000,0.1,0.3,0.5,6,0.12,14,36,0.28,False,False
91,50,10000,0.1,0.3,0.5,2,0.04,5,45,0.1,False,False
92,50,10000,0.1,0.3,0.5,10,0.2,18,32,0.36,False,False
93,50,10000,0.1,0.3,0.5,7,0.14,20,30,0.4,False,False
94,50,10000,0.1,0.3,0.5,1,0.02,1,49,0.02,False,True
95,50,10000,0.1,0.3,0.5,2,0.04,3,47,0.06,False,False
96,50,10000,0.1,0.3,0.5,6,0.12,14,36,0.28,False,False
97,50,10000,0.1,0.3,0.5,7,0.14,18,32,0.36,False,False
98,50,10000,0.1,0.3,0.5,10,0.2,24,26,0.48,False,False
99,50,10000,0.1,0.3,0.5,3,0.06,10,40,0.2,False,False
